date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:01	140/140	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2003:01:01%20GMT	https://apecmandalakimboi.apecgroup.net/robots.txt		(from )
10:01:01	75610/75610	---MCZ	200	added ('OK')	text/html	etag:W/%22618f844b-1275a%22	https://apecmandalakimboi.apecgroup.net/	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/index.html	(from )
10:01:02	15175/15175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2003:01:02%20GMT	https://mandalahotel.com.vn/assets/img/seo.jpg	C:/My%20Web%20Sites/ladipage/mandalahotel.com.vn/assets/img/seo.0.delayed	(from https://apecmandalakimboi.apecgroup.net/)
10:01:05	159521/159521	---MCZ	200	added ('OK')	text/css	etag:W/%226045c5f5-26f21%22	https://apecmandalakimboi.apecgroup.net/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/css/bootstrap.min.css	(from https://apecmandalakimboi.apecgroup.net/)
10:01:05	71760/71760	---MCZ	200	added ('OK')	text/css	etag:W/%226045c5f5-11850%22	https://apecmandalakimboi.apecgroup.net/assets/css/animate.min.css	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/css/animate.min.css	(from https://apecmandalakimboi.apecgroup.net/)
10:01:05	1449/1449	---MCZ	200	added ('OK')	text/css	etag:W/%2261833be7-5a9%22	https://apecmandalakimboi.apecgroup.net/assets/css/slick.css	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/css/slick.css	(from https://apecmandalakimboi.apecgroup.net/)
10:01:06	13051/13051	---MCZ	200	added ('OK')	text/css	etag:W/%225920e4b6-32fb%22	https://apecmandalakimboi.apecgroup.net/assets/css/sweetalert.css	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/css/sweetalert.css	(from https://apecmandalakimboi.apecgroup.net/)
10:01:06	34297/34297	---MCZ	200	added ('OK')	text/css	etag:W/%22618361cb-85f9%22	https://apecmandalakimboi.apecgroup.net/assets/css/style.css	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/css/style.css	(from https://apecmandalakimboi.apecgroup.net/)
10:01:07	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225eebda3d-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.1/css/all.min.css	C:/My%20Web%20Sites/ladipage/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.1/css/all.min.css	(from https://apecmandalakimboi.apecgroup.net/)
10:01:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2017%20Mar%202022%2003:01:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ladipage/www.googletagmanager.com/gtm.75445.delayed	(from https://apecmandalakimboi.apecgroup.net/)
10:01:31	324/324	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-144%22	https://apecmandalakimboi.apecgroup.net/assets/images/phone.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/phone.png	(from https://apecmandalakimboi.apecgroup.net/)
10:01:36	204/204	---MCZ	200	added ('OK')	image/png	etag:W/%22609b06ba-cc%22	https://apecmandalakimboi.apecgroup.net/assets/images/scroll.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/scroll.png	(from https://apecmandalakimboi.apecgroup.net/)
10:01:36	6976/6976	---MCZ	200	added ('OK')	image/png	etag:W/%2261820850-1b40%22	https://apecmandalakimboi.apecgroup.net/assets/images/logo.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/logo.png	(from https://apecmandalakimboi.apecgroup.net/)
10:02:11	241241/241241	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0470-3ae59%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgr1.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgr1.png	(from https://apecmandalakimboi.apecgroup.net/)
10:03:07	148771/148771	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0496-24523%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgr2.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgr2.png	(from https://apecmandalakimboi.apecgroup.net/)
10:03:12	44234/44234	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0496-acca%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgr3.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgr3.png	(from https://apecmandalakimboi.apecgroup.net/)
10:03:41	141374/141374	---MCZ	200	added ('OK')	image/png	etag:W/%2261836042-2283e%22	https://apecmandalakimboi.apecgroup.net/assets/images/loc1.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/loc1.png	(from https://apecmandalakimboi.apecgroup.net/)
10:03:45	84059/84059	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-1485b%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrbottom.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrbottom.png	(from https://apecmandalakimboi.apecgroup.net/)
10:03:49	24936/24936	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0498-6168%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrslide.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrslide.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:04:01	251852/251852	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b046e-3d7cc%22	https://apecmandalakimboi.apecgroup.net/assets/images/1.%20Sky%20Roman%20Fall.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/1.%20Sky%20Roman%20Fall.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:04:40	363431/363431	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b046e-58ba7%22	https://apecmandalakimboi.apecgroup.net/assets/images/2.%202_KBHB_Condotel_Sanvuon_210406.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/2.%202_KBHB_Condotel_Sanvuon_210406.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:04:42	319560/319560	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0470-4e048%22	https://apecmandalakimboi.apecgroup.net/assets/images/3.%20KBHB_PCTI_BeBoi_fr2_OP2.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/3.%20KBHB_PCTI_BeBoi_fr2_OP2.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:05:17	531053/531053	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0470-81a6d%22	https://apecmandalakimboi.apecgroup.net/assets/images/4.%20Lasen%20Treatment%20Spa.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/4.%20Lasen%20Treatment%20Spa.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:05:20	380953/380953	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0470-5d019%22	https://apecmandalakimboi.apecgroup.net/assets/images/6.%20KBHB_NhaHoiNghi_ViewTamMatHoiNghi_Op2.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/6.%20KBHB_NhaHoiNghi_ViewTamMatHoiNghi_Op2.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:05:35	399566/399566	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0654-618ce%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgslide11.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgslide11.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:05:44	726773/726773	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0470-b16f5%22	https://apecmandalakimboi.apecgroup.net/assets/images/5.%20KBHB_PCTI_Condoltel_VuonLaHan.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/5.%20KBHB_PCTI_Condoltel_VuonLaHan.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:05:52	265501/265501	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b046e-40d1d%22	https://apecmandalakimboi.apecgroup.net/assets/images/1.%20Sky%20Villas%20View.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/1.%20Sky%20Villas%20View.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:16	208072/208072	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-32cc8%22	https://apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%201.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%201.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:21	343165/343165	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b046e-53c7d%22	https://apecmandalakimboi.apecgroup.net/assets/images/2.Mandala%20Signature%20Hotel.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/2.Mandala%20Signature%20Hotel.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:24	227609/227609	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-37919%22	https://apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%202.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%202.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:30	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2003:06:30%20GMT	https://apecmandalakimboi.apecgroup.net/assets/images/Sky%20Villa_N%c3%a1%c2%bb%c2%99i%20th%c3%a1%c2%ba%c2%a5t%20minh%20h%c3%a1%c2%bb%c2%8da%20(Bowmore).jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/Sky%20Villa_N%c3%a1%c2%bb%c2%99i%20th%c3%a1%c2%ba%c2%a5t%20minh%20h%c3%a1%c2%bb%c2%8da%20(Bowmore).22.delayed	(from https://apecmandalakimboi.apecgroup.net/)
10:06:35	31656/31656	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-7ba8%22	https://apecmandalakimboi.apecgroup.net/assets/images/lalefttop.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/lalefttop.png	(from https://apecmandalakimboi.apecgroup.net/)
10:06:45	38989/38989	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-984d%22	https://apecmandalakimboi.apecgroup.net/assets/images/laright.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/laright.png	(from https://apecmandalakimboi.apecgroup.net/)
10:06:49	191097/191097	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-2ea79%22	https://apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%204.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%204.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:51	38685/38685	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-971d%22	https://apecmandalakimboi.apecgroup.net/assets/images/laleftbot.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/laleftbot.png	(from https://apecmandalakimboi.apecgroup.net/)
10:06:54	553767/553767	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0470-87327%22	https://apecmandalakimboi.apecgroup.net/assets/images/3.%20Anamia%20Villas.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/3.%20Anamia%20Villas.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:54	257862/257862	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-3ef46%22	https://apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%203.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%203.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:59	87579/87579	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b069e-1561b%22	https://apecmandalakimboi.apecgroup.net/assets/images/room%20Bowmore.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/room%20Bowmore.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:08	54168/54168	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-d398%22	https://apecmandalakimboi.apecgroup.net/assets/images/roomHighland%20park.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/roomHighland%20park.jpg	(from https://apecmandalakimboi.apecgroup.net/)
